dot_number,legal_name,dba_name,physical_city,physical_state,physical_zip,power_units,drivers,annual_mileage,experience_score,safety_score,crash_score,inspection_score,combined_score,fred_score_grade,rank,iss_score,iss_bucket,crash_count,inspection_count,violation_count,insurance_rating,risk_flags
1,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,FMCSA TECHNOLOGY DIVISION,WASHINGTON,DC,20590,91,0,3000,100.0,100.0,100.0,100.0,100.0,,,25,Pass,0,0,36,,
44,GLEN DYER,DYERS TRUCKING SERVICE,MOBILE,AL,36603,3,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,1,0,,
111,CAIN AM BICKLEY LLC,,MARSHALLVILLE,GA,31057,9,0,220000,100.0,100.0,100.0,100.0,100.0,A+,1,,,0,4,1,26.19,
174,CWT FARMS INTERNATIONAL INC,,GAINESVILLE,GA,30501,8,0,121904,100.0,100.0,100.0,90.0,98.0,C,40,27,Pass,0,4,0,1,
198,TRANSPORTATION SERVICES INC,,ROMULUS,MI,48174,534,0,99240000,100.0,100.0,85.0,100.0,95.5,D+,51,25,Pass,29,835,259,42.43,High crash frequency (29 crashes); Pattern: Vehicle Maintenance (158 violations); Pattern: Unsafe Driving (54 violations); Pattern: Hours-of-Service Compliance (38 violations)
206,C & K TRANSFER LLC,,GRINNELL,IA,50112,12,0,880000,100.0,100.0,100.0,100.0,100.0,A+,2,44,Pass,1,36,31,309.51,High crash frequency (1 crashes); Pattern: Unsafe Driving (13 violations); Pattern: Vehicle Maintenance (11 violations)
234,DOUG ANDRUS DISTRIBUTING LLC,,IDAHO FALLS,ID,83402,255,0,25160964,100.0,100.0,85.0,100.0,95.5,D+,52,28,Pass,12,561,166,82.72,High crash frequency (12 crashes); Pattern: Hours-of-Service Compliance (35 violations); Pattern: Unsafe Driving (16 violations); Pattern: Vehicle Maintenance (108 violations)
239,FELIX ANCHUSTEGUI TRUCKING INC,,NAMPA,ID,83687-8516,2,0,119687,100.0,100.0,100.0,90.0,98.0,C,41,37,Pass,0,5,1,48.14,
254,RICHARD D AUSTIN,AUSTIN TRUCKING,SALMON,ID,83467,2,0,1251,100.0,100.0,100.0,100.0,100.0,,,33,Pass,0,0,0,,
261,BOISE DELIVERY & TRANSFER INC,,BOISE,ID,83706,5,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
334,D ALI TRUCKING INC,,OAKDALE,PA,15071-0011,2,0,12624,100.0,100.0,100.0,100.0,100.0,,,48,Pass,0,1,1,,
345,W J BEITLER CO,,PITTSBURGH,PA,15204,1,0,1,100.0,100.0,100.0,100.0,100.0,,,39,Pass,0,2,4,,
374,MOHAWK CARPET TRANSPORTATION OF GEORGIA LLC,MOHAWK,CALHOUN,GA,30701,992,0,50268376,100.0,100.0,85.0,100.0,95.5,D+,53,46,Pass,40,1360,371,117.12,High crash frequency (40 crashes); Pattern: Hours-of-Service Compliance (34 violations); Pattern: Vehicle Maintenance (275 violations); Pattern: Unsafe Driving (54 violations)
525,ARMSTRONG TRANSFER & STORAGE COMPANY INC,ARMSTRONG RELOCATION CO,MEMPHIS,TN,38118,2,0,66780,100.0,100.0,100.0,100.0,100.0,,,36,Pass,0,20,7,,
529,C W WILLIAMS INC,,HICKORY FLAT,MS,38633,17,0,1201758,100.0,100.0,100.0,100.0,100.0,A,3,35,Pass,0,15,3,14.38,
536,BARNHART CRANE AND RIGGING CO,,MEMPHIS,TN,38114,1106,0,8421248,100.0,100.0,85.0,100.0,95.5,D,54,28,Pass,18,678,219,350.21,High crash frequency (18 crashes); Pattern: Vehicle Maintenance (152 violations); Pattern: Unsafe Driving (45 violations); Pattern: Hours-of-Service Compliance (16 violations)
594,DUFFY CRANE INC,DUFFY CRANE & HAULING,HENDERSON,CO,80640,47,0,1852565,100.0,100.0,100.0,100.0,100.0,A,4,41,Pass,2,37,29,191.4,High crash frequency (2 crashes); Pattern: Vehicle Maintenance (25 violations)
603,EATON SALES & SERVICE LLC,,DENVER,CO,80216-2237,95,0,2000000,100.0,100.0,100.0,100.0,100.0,A,5,30,Pass,0,6,5,14.41,
619,EMPIRE WAREHOUSE INC,,DENVER,CO,80239,9,0,600000,100.0,100.0,100.0,100.0,100.0,A,6,38,Pass,0,13,12,115.24,
651,CHRISTENSEN TRUCKING INC,,FULLERTON,NE,68638,7,0,379395,100.0,100.0,100.0,100.0,100.0,A-,7,40,Pass,0,11,2,30.38,
684,RICK DICKMAN,DICKMAN TRANSFER,AXTELL,NE,68924,1,0,116015,100.0,100.0,100.0,100.0,100.0,A-,8,,,0,0,0,1,
702,EBEL TRANSFER INC,,WEST POINT,NE,68788,5,0,267932,100.0,100.0,100.0,100.0,100.0,A-,9,49,Pass,0,14,3,64.52,
716,EVELAND SUPPLY CO INC,EVELAND SUPPLY CO,SCRIBNER,NE,68057,13,0,258349,100.0,100.0,100.0,100.0,100.0,A-,10,45,Pass,1,6,2,407.45,High crash frequency (1 crashes)
717,ALBERT FARMS INC,,MADAWASKA,ME,04756,16,0,540000,100.0,100.0,100.0,100.0,100.0,A-,11,29,Pass,2,33,25,500,High crash frequency (2 crashes); Pattern: Vehicle Maintenance (11 violations)
726,FOLTZ BROTHERS INC,,HUMPHREY,NE,68642-0525,6,0,182158,100.0,100.0,100.0,100.0,100.0,A-,12,30,Pass,0,7,1,31.63,
733,FREMONT CONTRACT CARRIERS INC,,FREMONT,NE,68025,438,0,47198832,100.0,100.0,85.0,100.0,95.5,D,55,41,Pass,24,1163,258,79.16,High crash frequency (24 crashes); Pattern: Vehicle Maintenance (152 violations); Pattern: Hours-of-Service Compliance (36 violations); Pattern: Unsafe Driving (68 violations)
748,GLODOWSKI TRUCKING INC,,ROGERS,NE,68658,3,0,125000,100.0,100.0,100.0,100.0,100.0,B+,13,41,Pass,0,3,1,46.1,
754,GRAHAM TRUCKING CO INC,,VALENTINE,NE,69201,1,0,70000,100.0,100.0,100.0,100.0,100.0,,,,,0,2,0,,
761,GROSCH IRRIGATION CO INC,,ONEILL,NE,68763,87,0,129824,100.0,100.0,100.0,90.0,98.0,C,42,39,Pass,0,10,14,500,Pattern: Vehicle Maintenance (14 violations)
762,GROSSERHODE TRANSFER,,DODGE,NE,68633-4060,3,0,67859,100.0,100.0,100.0,100.0,100.0,,,,,0,1,3,,
787,MIDWEST OIL CO INC,,SIOUX FALLS,SD,57103,5,0,28000,100.0,100.0,100.0,100.0,100.0,,,29,Pass,0,8,3,,
812,MITZEL & SONS INC,,ABERDEEN,SD,57401,6,0,93643,100.0,100.0,100.0,90.0,98.0,,,49,Pass,0,4,2,,
819,MOELLER TRUCK SERVICE INC,,BRYANT,SD,57221,2,0,70000,100.0,100.0,100.0,100.0,100.0,,,27,Pass,0,2,1,,
835,MOYLE PETROLEUM COMPANY,,RAPID CITY,SD,57702,16,0,319291,100.0,100.0,100.0,100.0,100.0,B+,14,25,Pass,0,19,3,54.14,
844,MUSICK LIVESTOCK LLC,,MITCHELL,SD,57301,2,0,101300,100.0,100.0,100.0,100.0,100.0,B+,15,,,0,0,0,1,
874,NIESEN TRUCK LINE INC,,BRITTON,SD,57430,1,0,80000,100.0,100.0,100.0,100.0,100.0,,,26,Pass,0,1,0,,
880,NORTHWEST BEVERAGE INC,,MOBRIDGE,SD,57601,4,0,45000,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
881,HILLS PRODUCTS GROUP INC,,RAPID CITY,SD,57701,6,0,178207,100.0,100.0,100.0,100.0,100.0,B+,16,29,Pass,0,21,22,500,Pattern: Vehicle Maintenance (20 violations)
909,JERALD OLLERICH,JERRY OLLERICH TRUCKING,SIOUX FALLS,SD,57106-7008,1,0,103000,100.0,100.0,100.0,100.0,100.0,B+,17,33,Pass,0,4,4,223.77,
920,OPPERMAN INC,,GREGORY,SD,57533,19,0,533396,100.0,100.0,100.0,100.0,100.0,B+,18,,,0,9,1,10.8,
923,OUELLETTE TRUCKING INC,,VERMILLION,SD,57069,8,0,759479,100.0,100.0,100.0,100.0,100.0,B,19,40,Pass,0,9,0,1,
943,CHRIS CAM CORPORATION,HEARTLAND PAPER CO,SIOUX FALLS,SD,57104,19,0,1199000,100.0,100.0,100.0,100.0,100.0,B,20,,,0,0,0,1,
945,PARKER TRANSFER AND STORAGE INC,PARKER,SIOUX FALLS,SD,57104-0211,5,0,36000,100.0,100.0,100.0,100.0,100.0,,,48,Pass,0,5,0,,
969,PERKINS STORAGE & TRANSFER CO INC,,BROOKINGS,SD,57006,5,0,50000,100.0,100.0,100.0,70.0,94.0,,,28,Pass,0,1,1,,High OOS rate (100.0%)
979,BULK CARRIERS SPECIALISTS INC,,OMAHA,NE,68105-1654,1,0,31894,100.0,100.0,100.0,100.0,100.0,,,32,Pass,0,0,0,,
1018,ROBERT AND ROGER PUNT,PUNT TRUCKING,STICKNEY,SD,57375,4,0,392000,100.0,100.0,100.0,100.0,100.0,B,21,33,Pass,0,11,3,44.1,
1044,RICH GRANT TRUCKING CO,,OGDEN,UT,84401,10,0,437606,100.0,100.0,100.0,100.0,100.0,B,22,39,Pass,1,12,3,253.71,High crash frequency (1 crashes)
1060,JUNIOR LISH & SONS INC,,GARLAND,UT,84312,4,0,37266,100.0,100.0,100.0,100.0,100.0,,,33,Pass,0,1,0,,
1114,RMC FOODS INC,,SAINT GEORGE,UT,84770-3126,38,0,1595778,100.0,100.0,100.0,100.0,100.0,B,23,,,0,1,0,1,
1115,KOMATSU AMERICA CORP,KOMATSU,CHICAGO,IL,60631,52,0,1193998,100.0,100.0,90.0,100.0,97.0,C-,45,31,Pass,3,79,43,443.04,High crash frequency (3 crashes); Pattern: Vehicle Maintenance (26 violations); Pattern: Unsafe Driving (11 violations)
1122,NICHOLAS AND COMPANY INC,,SALT LAKE CITY,UT,84116-0000,148,0,6620310,100.0,100.0,90.0,100.0,97.0,C-,46,26,Pass,3,107,62,96.44,High crash frequency (3 crashes); Pattern: Vehicle Maintenance (54 violations)
1253,ARIS HORTICULTURE INC,,BARBERTON,OH,44203,1,0,15000,100.0,100.0,100.0,100.0,100.0,,,43,Pass,0,4,3,,
1283,ROBERT E WELLS INC,,WEST JORDAN,UT,84088-9438,5,0,25150,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1302,WHEELER MACHINERY CO,ICM SOLUTIONS WHEELER POWER SYSTEMS HERITAGE IND DIAMOND EQUIPMENT RENTAL,SALT LAKE CITY,UT,84120,204,0,6560574,100.0,100.0,100.0,100.0,100.0,B,24,30,Pass,1,56,18,30.1,High crash frequency (1 crashes); Pattern: Vehicle Maintenance (11 violations)
1362,RISTVEDT TRUCKING INC,RISTVEDT,WATERTOWN,SD,57201-3050,5,0,221622,100.0,100.0,100.0,100.0,100.0,B,25,32,Pass,0,9,2,52.0,
1391,RUDE TRANSPORTATION INC,,SIOUX FALLS,SD,57107,68,0,3125384,100.0,100.0,90.0,100.0,97.0,C-,47,43,Pass,3,110,25,136.07,High crash frequency (3 crashes)
1405,ROGER ST SAUVER,,BRITTON,SD,57430,1,0,44715,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1426,FANTASY LAND EXPRESS LLC,,FLANDREAU,SD,57028-0345,1,0,3800,100.0,100.0,100.0,100.0,100.0,,,,,0,1,0,,
1440,DAN SCHROEDERMEIER TRUCKING INC,,BERESFORD,SD,57004-1504,18,0,1701041,100.0,100.0,100.0,100.0,100.0,B,26,29,Pass,1,44,22,129.63,High crash frequency (1 crashes); Pattern: Vehicle Maintenance (13 violations)
1637,WILLIAM NEVILLE,,TOLEDO,IA,52342,1,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1674,ART PAPE TRANSFER INC,TUCKER FREIGHT LINES INC,DUBUQUE,IA,52001,340,0,25581000,100.0,100.0,85.0,100.0,95.5,D,56,36,Pass,22,485,124,108.55,High crash frequency (22 crashes); Pattern: Vehicle Maintenance (81 violations); Pattern: Unsafe Driving (29 violations)
1734,RICHTER STOCK FARM INC,,REINBECK,IA,50669-1041,4,0,24110,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1749,JEFFORY ALLEN RUNDLETT,RUNDLETT TRUCKING,WATERLOO,IA,50701,2,0,130000,100.0,100.0,100.0,90.0,98.0,C,43,27,Pass,1,4,0,500,High crash frequency (1 crashes)
1771,SCHMUECKER TRUCK LINE INC,,EARLVILLE,IA,52041-8603,4,0,123668,100.0,100.0,100.0,100.0,100.0,B,27,45,Pass,0,3,0,1,
1783,SEEGERS TRUCK LINE INC,,DENVER,IA,50622-1017,16,0,859962,100.0,100.0,100.0,100.0,100.0,B-,28,44,Pass,0,38,7,46.9,
1821,IVAN STEINBECK TRUCKING,,BRANDON,IA,52210,2,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1859,DAVID BARSTOW TRUCKING,,SAINT CROIX FALLS,WI,54024,1,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
1891,WAGNER TRANSPORT LLC,,DYERSVILLE,IA,52040,3,0,244000,100.0,100.0,100.0,100.0,100.0,B-,29,46,Pass,1,4,3,455.03,High crash frequency (1 crashes)
1896,WARREN TRANSPORT INC,,WATERLOO,IA,50701,375,0,30093689,100.0,100.0,85.0,100.0,95.5,D-,57,48,Pass,27,788,289,139.44,High crash frequency (27 crashes); Pattern: Vehicle Maintenance (194 violations); Pattern: Unsafe Driving (80 violations); Pattern: Hours-of-Service Compliance (13 violations)
1905,WENGER TRUCK LINE INC,,DAVENPORT,IA,52802,1,0,1,100.0,100.0,100.0,100.0,100.0,,,37,Pass,2,0,0,,High crash frequency (2 crashes)
1931,WITTENBURG TRUCK LINE INC,,READLYN,IA,50668,12,0,565339,100.0,100.0,100.0,100.0,100.0,B-,30,41,Pass,2,10,14,474.32,High crash frequency (2 crashes)
1948,T R ANDERSEN TRUCKING INC,,AUDUBON,IA,50025,3,0,33041,100.0,100.0,100.0,100.0,100.0,,,47,Pass,0,0,0,,
2030,A-1 RELOCATION INC,,AURORA,CO,80010,9,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
2046,GARDA CL CENTRAL INC,,BOCA RATON,FL,33431-7304,68,0,1640000,100.0,100.0,90.0,100.0,97.0,C-,48,49,Pass,3,7,6,192.56,High crash frequency (3 crashes)
2061,FRANKLIN EXPRESS INC,,FRANKLIN,KY,42134,24,0,1651438,100.0,100.0,100.0,100.0,100.0,B-,31,38,Pass,2,28,3,123.99,High crash frequency (2 crashes)
2075,EDLIN BROTHERS INC,,NEW HAVEN,KY,40051-9720,19,0,737465,100.0,100.0,100.0,90.0,98.0,C,44,35,Pass,2,27,22,426.12,High crash frequency (2 crashes); Pattern: Vehicle Maintenance (17 violations)
2092,TGRC GATES CORPORATION,GATES CORPORATION,IOLA,KS,66749,2,0,10000,100.0,100.0,100.0,70.0,94.0,,,,,0,1,1,,High OOS rate (100.0%)
2107,GOLDEN TRANSFER CO,,LONGMONT,CO,80501,2,0,20000,100.0,100.0,100.0,100.0,100.0,,,,,0,10,3,,
2304,MERRIL FLEIG,FLEIG TRUCKING,FAIRFIELD,IA,52556,1,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
2315,FADIGA TRUCKING INC,,CENTERVILLE,IA,52544,1,0,98309,100.0,100.0,100.0,100.0,100.0,,,34,Pass,0,0,0,,
2336,NORTH BEND TRANSFER CO,KRUGER FEED & SEED,NORTH BEND,NE,68649,1,0,989863,100.0,100.0,100.0,100.0,100.0,B-,32,44,Pass,0,1,0,1,
2340,KORTH TRUCKING INC,,NORFOLK,NE,68701,5,0,288423,100.0,100.0,100.0,100.0,100.0,C+,33,32,Pass,0,18,4,79.91,
2345,KNIGHT LLC,,ORD,NE,68862,3,0,136000,100.0,100.0,100.0,100.0,100.0,C+,34,25,Pass,0,2,0,1,
2351,BISSELL-BABCOCK MILLWORK INC,,SHERMAN,NY,14781-9628,1,0,0,100.0,100.0,100.0,100.0,100.0,,,,,0,0,0,,
2408,BELT TRANSFER COMPANY INC,,RAVENSWOOD,WV,26164,4,0,189306,100.0,100.0,100.0,100.0,100.0,C+,35,46,Pass,0,11,8,243.51,
